iter	Passed	Remaining
402	4121	992
403	4131	981
404	4140	971
405	4152	961
406	4163	951
407	4172	940
408	4182	930
409	4190	919
410	4199	909
411	4208	898
412	4217	888
413	4225	877
414	4235	867
415	4244	857
416	4252	846
417	4261	835
418	4271	825
419	4280	815
420	4290	805
421	4300	794
422	4309	784
423	4320	774
424	4329	764
425	4339	753
426	4350	743
427	4360	733
428	4370	723
429	4380	713
430	4389	702
431	4398	692
432	4409	682
433	4419	672
434	4429	661
435	4440	651
436	4450	641
437	4460	631
438	4470	621
439	4480	610
440	4490	600
441	4500	590
442	4509	580
443	4519	570
444	4529	559
445	4538	549
446	4547	539
447	4558	529
448	4567	518
449	4578	508
450	4587	498
451	4597	488
452	4607	477
453	4615	467
454	4625	457
455	4635	447
456	4644	437
457	4654	426
458	4665	416
459	4676	406
460	4685	396
461	4695	386
462	4707	376
463	4715	365
464	4724	355
465	4733	345
466	4743	335
467	4752	324
468	4762	314
469	4772	304
470	4782	294
471	4792	284
472	4803	274
473	4812	263
474	4825	253
475	4835	243
476	4844	233
477	4854	223
478	4867	213
479	4874	203
480	4884	192
481	4894	182
482	4903	172
483	4910	162
484	4918	152
485	4928	141
486	4937	131
487	4946	121
488	4956	111
489	4967	101
490	4976	91
491	4986	81
492	4996	70
493	5005	60
494	5015	50
495	5025	40
496	5035	30
497	5043	20
498	5054	10
499	5065	0
