iter	Logloss	Accuracy
108	0.08738804515	0.9711517467
109	0.08715433823	0.9713427948
110	0.08677890741	0.9715611354
111	0.08654246856	0.971779476
112	0.08593465563	0.971970524
113	0.08534625003	0.9722161572
114	0.08483405502	0.9723253275
115	0.08430385423	0.972489083
116	0.08374544372	0.972871179
117	0.08355889626	0.9728984716
118	0.08324708277	0.972871179
119	0.08302667227	0.9729530568
120	0.08263212138	0.9732259825
121	0.08171095282	0.9734989083
122	0.08147890255	0.9736080786
123	0.0811271924	0.9736899563
124	0.08087663753	0.9737718341
125	0.08063158462	0.9739355895
126	0.08043611823	0.974099345
127	0.0800772135	0.9743722707
128	0.08006520058	0.9743722707
129	0.0798734382	0.9743995633
130	0.07971610755	0.9743176856
131	0.07927232202	0.9743995633
132	0.07882033973	0.9747816594
133	0.07836571529	0.9748362445
134	0.07799864093	0.9748635371
135	0.07767872645	0.9749454148
136	0.07747422122	0.9751091703
137	0.07695570784	0.9751091703
138	0.07662856442	0.9751091703
139	0.07633627011	0.9756004367
140	0.0760775879	0.9757368996
141	0.0756734366	0.9759552402
142	0.07551819183	0.9759825328
143	0.07506237298	0.9763100437
144	0.07491616321	0.9763919214
145	0.07437373285	0.9765283843
146	0.07405698258	0.9765010917
147	0.07361301499	0.9765283843
148	0.07319333552	0.9766375546
149	0.07293066129	0.9767194323
150	0.07274275576	0.97680131
151	0.07237764016	0.9769923581
152	0.0722133503	0.9771015284
153	0.07182499722	0.9772652838
154	0.07131901316	0.977319869
155	0.07110173352	0.9774563319
156	0.07095200294	0.977510917
157	0.07070238622	0.9775927948
158	0.07047827258	0.9777019651
159	0.07018859719	0.9778111354
160	0.06992795627	0.9781386463
161	0.06958091205	0.978029476
162	0.06936338429	0.9781932314
163	0.0690485585	0.9785207424
164	0.06843614352	0.9788482533
165	0.06831381228	0.9787936681
166	0.06824278928	0.978739083
167	0.06801640238	0.9789574236
168	0.06784482229	0.9790665939
169	0.06759410988	0.9793395197
170	0.06729215007	0.9794213974
171	0.06680955643	0.9796943231
172	0.06646695291	0.9798580786
173	0.06602537685	0.9798853712
174	0.06572257996	0.9801037118
175	0.06514355857	0.9802674672
176	0.06498838264	0.9804039301
177	0.06460512493	0.9805949782
178	0.06428577752	0.9805949782
179	0.06400862447	0.9806222707
180	0.06376790332	0.9806768559
181	0.06345455242	0.9808951965
182	0.06342741847	0.9809224891
183	0.06319652373	0.9808679039
184	0.06305581268	0.9809224891
185	0.06291694325	0.9810043668
186	0.06275980285	0.9811681223
187	0.0627034591	0.9811408297
188	0.06242132474	0.9812227074
189	0.06209474408	0.9814137555
190	0.06168412219	0.981441048
191	0.06149458273	0.9815502183
192	0.06123362678	0.9815502183
193	0.06098598683	0.9816866812
194	0.06081370012	0.9819868996
195	0.060794946	0.9819868996
196	0.06058534197	0.982150655
197	0.06039840252	0.9821233624
198	0.06014996669	0.9822052402
199	0.05970956013	0.9825054585
200	0.0594599659	0.9826146288
201	0.05895166435	0.9831331878
202	0.05858660958	0.9833242358
203	0.0583642293	0.9833242358
204	0.05811007639	0.9835425764
205	0.05792504657	0.9837336245
206	0.05784864192	0.983569869
207	0.05781310004	0.9835971616
208	0.05767989417	0.9836244541
209	0.05746904968	0.9838973799
210	0.0574688704	0.9838973799
211	0.05714638852	0.9838700873
212	0.05689650871	0.9838973799
213	0.05652191446	0.9839246725
214	0.05610162929	0.9840611354
215	0.05592231714	0.9841157205
216	0.05578300782	0.9842521834
217	0.0557513744	0.984279476
218	0.05528205896	0.9845796943
219	0.05511911361	0.984470524
220	0.05481362629	0.9847434498
221	0.05468780612	0.9847434498
222	0.05442725113	0.9850163755
223	0.05415117182	0.9853438865
224	0.05398442978	0.9855349345
225	0.05380365435	0.9856713974
226	0.05359033147	0.9857259825
227	0.05341463899	0.9857805677
228	0.05320463464	0.9858351528
229	0.05300802032	0.9858624454
230	0.05286868569	0.9859170306
231	0.05281366516	0.9859716157
232	0.05262871734	0.9858078603
233	0.05246576849	0.986080786
234	0.05234038564	0.986080786
235	0.05221813165	0.9861080786
236	0.05219771076	0.9863537118
237	0.05191309949	0.9864082969
238	0.05152148584	0.9867358079
239	0.05139289118	0.9867358079
240	0.05115827956	0.9868995633
241	0.05096848874	0.9868449782
242	0.05080405312	0.986981441
243	0.05054951838	0.9871451965
244	0.05044515559	0.9873362445
245	0.0502008055	0.9873362445
246	0.04998346419	0.987308952
247	0.04975247526	0.9875818777
248	0.04955676238	0.9875818777
249	0.04932229921	0.9875
250	0.04912357939	0.9875818777
251	0.0490578177	0.9875818777
252	0.04883685262	0.9878820961
253	0.04868970234	0.9879912664
254	0.04866082785	0.988018559
255	0.0486287766	0.988018559
256	0.04848366062	0.9880731441
257	0.04840735764	0.9880731441
258	0.04826932773	0.9882641921
259	0.04807899688	0.9882914847
260	0.04792526657	0.9884552402
261	0.04765257883	0.9884279476
262	0.04759354369	0.9882368996
263	0.04747870207	0.988400655
264	0.04740440255	0.9883187773
265	0.04735646829	0.9883460699
266	0.04720917592	0.9882914847
267	0.04705945665	0.9882914847
268	0.04670751462	0.9885371179
269	0.04644672101	0.9886735808
270	0.04629342654	0.9887554585
271	0.0461432708	0.9888100437
272	0.04604596793	0.9890283843
273	0.04579218524	0.9889737991
274	0.04573928759	0.9889737991
275	0.04553694207	0.9888646288
276	0.04527369351	0.9891375546
277	0.04510416678	0.9891921397
278	0.04499501473	0.9892194323
279	0.04490792423	0.9893286026
280	0.0447152728	0.9893558952
281	0.04470834378	0.9893558952
282	0.04446042421	0.9895742358
283	0.0442500815	0.9896015284
284	0.04406630973	0.9896561135
285	0.04390362351	0.9897652838
286	0.04377107758	0.9898744541
287	0.04360920941	0.9899017467
288	0.04345550219	0.9899563319
289	0.04326599814	0.9899563319
290	0.04316080658	0.990010917
291	0.04299498609	0.9900655022
292	0.04263981991	0.9900927948
293	0.04243942869	0.9901473799
294	0.04225949907	0.9902838428
295	0.04219649607	0.9902292576
296	0.04197338379	0.9901746725
297	0.04183746565	0.9901746725
298	0.04168221883	0.9902019651
299	0.04152615753	0.9902292576
300	0.04130774791	0.9904203057
301	0.04111877136	0.990720524
302	0.04090232674	0.9908296943
303	0.04063791827	0.9909661572
304	0.04053613819	0.9911299127
305	0.04024076465	0.9912117904
306	0.04003691629	0.9914028384
307	0.03999716747	0.9914574236
308	0.03981692164	0.9913755459
309	0.03959931327	0.9914847162
310	0.03934019544	0.9915938865
311	0.03911759141	0.9916484716
312	0.0389929604	0.9916757642
313	0.0388840295	0.9916757642
314	0.03873280819	0.9917303493
315	0.03865478649	0.9917576419
316	0.03844746123	0.9919213974
317	0.03830569892	0.9920305677
318	0.03824406604	0.9920578603
319	0.03823946836	0.9920578603
320	0.03817110834	0.9919759825
321	0.03805690895	0.9919759825
322	0.0379431362	0.9920578603
323	0.03783743818	0.9920851528
324	0.03765460574	0.9922216157
325	0.03763275038	0.9921943231
326	0.03738442251	0.9923580786
327	0.03724383536	0.9924399563
328	0.03717606867	0.9924399563
329	0.03712752407	0.9924399563
330	0.03696630682	0.9924126638
331	0.03671271251	0.9924126638
332	0.03656255498	0.9924126638
333	0.03643098351	0.9924399563
334	0.0363845569	0.9924126638
335	0.03632987637	0.9924126638
336	0.0361910061	0.9924126638
337	0.03610167825	0.9925491266
338	0.03601962993	0.9924945415
339	0.03591050571	0.9925764192
340	0.03579431397	0.9926855895
341	0.03564171359	0.9927128821
342	0.03557562325	0.9927401747
343	0.03541323845	0.9926582969
344	0.03541313035	0.9926310044
345	0.03524981206	0.9928220524
346	0.03518749187	0.9927674672
347	0.03501235456	0.9929039301
348	0.03490365238	0.9929858079
349	0.03471584432	0.9929585153
350	0.03462172451	0.9929585153
351	0.03440280659	0.9931768559
352	0.03436334132	0.9931768559
353	0.03412817581	0.9932041485
354	0.03406344959	0.9932860262
355	0.03398689082	0.9933133188
356	0.03386666295	0.9933951965
357	0.03368690119	0.9934497817
358	0.03359418589	0.9934497817
359	0.0334737593	0.9934497817
360	0.03339731744	0.9934770742
361	0.03338190264	0.9935043668
362	0.0333160041	0.9934770742
363	0.03325635187	0.9934770742
364	0.03309935778	0.9934497817
365	0.03297093875	0.9934770742
366	0.03281302924	0.9936135371
367	0.03272366712	0.9936135371
368	0.03261530569	0.9936681223
369	0.03241028904	0.9937227074
370	0.03231071781	0.99375
371	0.0322574335	0.9937772926
372	0.03218117141	0.9938864629
373	0.03212691455	0.9938318777
374	0.03202629154	0.993941048
375	0.03198935907	0.9939683406
376	0.03186998151	0.9939956332
377	0.03180981603	0.9939956332
378	0.03161461518	0.9941593886
379	0.0315954954	0.9941593886
380	0.0314323614	0.9941866812
381	0.03130219143	0.9941048035
382	0.03114998014	0.9941320961
383	0.03106782573	0.9942412664
384	0.0309293032	0.9942139738
385	0.03066926149	0.9943777293
386	0.03063428014	0.994459607
387	0.03056735785	0.9944050218
388	0.03047801908	0.9944323144
389	0.03036251468	0.9945141921
390	0.03025375958	0.994459607
391	0.03016719922	0.9944868996
392	0.03012440356	0.9945414847
393	0.0300774712	0.9945414847
394	0.03000202068	0.9945687773
395	0.02995035363	0.9945141921
396	0.02985359543	0.994650655
397	0.02982795305	0.9946779476
398	0.02976537404	0.9947052402
399	0.02965502061	0.9946233624
400	0.02965499544	0.9946233624
401	0.02959780019	0.994650655
402	0.02950871683	0.9947598253
403	0.02944868521	0.9947871179
404	0.02944866174	0.9947871179
405	0.02937046163	0.9947598253
406	0.02910137316	0.9950327511
407	0.02905053491	0.9950054585
408	0.02896451798	0.9949781659
409	0.02892660469	0.9949781659
410	0.02889118803	0.9950327511
411	0.02883388278	0.9950600437
412	0.02876386931	0.9950873362
413	0.02876380075	0.9950873362
414	0.02866716181	0.9950327511
415	0.02860280135	0.9950327511
416	0.02860276429	0.9950327511
417	0.02858549669	0.9950600437
418	0.02843301707	0.9951965066
419	0.02837010934	0.995169214
420	0.02831351094	0.9951419214
421	0.02819741273	0.9952510917
422	0.02813131755	0.9952783843
423	0.02803932472	0.9951965066
424	0.02792013262	0.9953056769
425	0.02784030264	0.9952237991
426	0.0277597402	0.9952783843
427	0.02761220007	0.9954148472
428	0.0275740972	0.9954421397
429	0.02744209028	0.9955240175
430	0.02737739877	0.99555131
431	0.02732902631	0.9955240175
432	0.02723130911	0.9956058952
433	0.02710766121	0.9956604803
434	0.0269668631	0.9956877729
435	0.02684784732	0.9956877729
436	0.02676865623	0.9956877729
437	0.02662586372	0.9957696507
438	0.02648109147	0.9957969432
439	0.02643834829	0.9958242358
440	0.02634752659	0.9957423581
441	0.0262166213	0.9957423581
442	0.0261810627	0.9957696507
443	0.02609155725	0.9957150655
444	0.02596707265	0.995878821
445	0.02593465934	0.9958515284
446	0.02586230221	0.995878821
447	0.02565480516	0.9959606987
448	0.02560001688	0.9959606987
449	0.02550652344	0.996069869
450	0.02545479626	0.9960425764
451	0.02538068989	0.9960971616
452	0.0253300221	0.9961517467
453	0.02529232586	0.9961517467
454	0.02522890332	0.9961790393
455	0.02516840369	0.9962882096
456	0.02510129017	0.9962336245
457	0.02504882684	0.996260917
458	0.02491606787	0.9963973799
459	0.02478301243	0.9964792576
460	0.02473476247	0.9965065502
461	0.02465310939	0.9963973799
462	0.02462627583	0.9964246725
463	0.02462618374	0.9964246725
464	0.02460602818	0.9963973799
465	0.0245529197	0.9964246725
466	0.02447725363	0.9964519651
467	0.02440969778	0.9964519651
468	0.02432211236	0.9964792576
469	0.0242020506	0.9965884279
470	0.02414790625	0.9965884279
471	0.02405980848	0.9965611354
472	0.02396746288	0.9965884279
473	0.02389741536	0.9966703057
474	0.02376372149	0.9967248908
475	0.02371155344	0.9968340611
476	0.02365548934	0.9968613537
477	0.02356238072	0.9968886463
478	0.02338981721	0.9969978166
479	0.02338976286	0.9969978166
480	0.02335289973	0.9970524017
481	0.02323095718	0.9971069869
482	0.02321734296	0.9971888646
483	0.02321675477	0.9971888646
484	0.02321646727	0.9971888646
485	0.02318836158	0.9971888646
486	0.02316087809	0.9971615721
487	0.02305491787	0.9971615721
488	0.02295384291	0.9972161572
489	0.02290533862	0.9972161572
490	0.02281634373	0.9972161572
491	0.02269658746	0.9972707424
492	0.02259763064	0.9973253275
493	0.02259758024	0.9973253275
494	0.02250519002	0.9973253275
495	0.02242410564	0.9972434498
496	0.02236059723	0.9971888646
497	0.02231511752	0.9972161572
498	0.02216560133	0.9973253275
499	0.02207711329	0.9973799127
